crop;yield;region;categorie
M.sat : S.bic;18.85;Americas;intercrops
M.sat : S.bic;12.25;Americas;intercrops
M.sat : S.bic;11.36;Americas;intercrops
M.sat : S.bic;17.54;Americas;intercrops
M.sat : S.bic;17.98;Americas;intercrops
M.sat : S.bic;17.09;Americas;intercrops
M.sat : S.bic;16.99;Americas;intercrops
M.sat : S.bic;19.86;Americas;intercrops
M.sat : S.bic;18.85;Americas;intercrops
M.sat : S.bic;13.12;Americas;intercrops
M.sat : S.bic;12.03;Americas;intercrops
M.sat : S.bic;12.35;Americas;intercrops
M.sat : S.bic;13.63;Americas;intercrops
M.sat : Z.mays;21.15;Asia;intercrops
M.sat : Z.mays;18.07;Asia;intercrops
M.sat : Z.mays;19.81;Asia;intercrops
M.sat : Z.mays;22.55;Asia;intercrops
M.sat : Z.mays;23.65;Asia;intercrops
M.sat : Z.mays;23.83;Asia;intercrops
M.sat : Z.mays;23.82;Asia;intercrops
M.sat : Z.mays;23.32;Asia;intercrops
M.sat : Z.mays;24.86;Asia;intercrops
M.sat : Z.mays;27.14;Asia;intercrops
M.sat : Z.mays;28.66;Asia;intercrops
M.sat : Z.mays;27.98;Asia;intercrops
M.sacchariflorus;0.44;Europe;perennial
M.sacchariflorus;3.81;Europe;perennial
M.sacchariflorus;10.32;Europe;perennial
M.sacchariflorus;10.12;Europe;perennial
M.sinensis;0.49;Europe;perennial
M.sinensis;4.09;Europe;perennial
M.sinensis;13.98;Europe;perennial
M.sinensis;14.27;Europe;perennial
M.giganteus;3.31;Europe;perennial
M.giganteus;15.44;Europe;perennial
M.giganteus;25.72;Europe;perennial
M.giganteus;19.8;Europe;perennial
M.giganteus;1.2;Europe;perennial
M.giganteus;3.5;Europe;perennial
M.giganteus;1.5;Europe;perennial
M.giganteus;3.6;Europe;perennial
M.giganteus;12.1;Europe;perennial
M.giganteus;19.5;Europe;perennial
M.giganteus;11;Europe;perennial
M.giganteus;18.9;Europe;perennial
M.giganteus;23.5;Europe;perennial
M.giganteus;29.3;Europe;perennial
M.giganteus;24.1;Europe;perennial
M.giganteus;30.6;Europe;perennial
M.giganteus;26.3;Europe;perennial
M.giganteus;28.8;Europe;perennial
M.giganteus;26.3;Europe;perennial
M.giganteus;26.5;Europe;perennial
M.giganteus;13.2;Europe;perennial
M.giganteus;25.5;Europe;perennial
M.giganteus;12.6;Europe;perennial
M.giganteus;21.4;Europe;perennial
M.giganteus;2.4;Europe;perennial
M.giganteus;14.28;Europe;perennial
M.giganteus;19.77;Europe;perennial
M.giganteus;29.43;Europe;perennial
M.giganteus;4.77;Europe;perennial
M.giganteus;9.29;Europe;perennial
M.giganteus;14.83;Europe;perennial
M.giganteus;14.02;Europe;perennial
M.giganteus;20.74;Europe;perennial
M.giganteus;29.17;Europe;perennial
M.giganteus;9.37;Europe;perennial
M.giganteus;48.41;Europe;perennial
M.giganteus;30.5;Europe;perennial
M.giganteus;33.75;Europe;perennial
M.giganteus;30.02;Europe;perennial
M.giganteus;25.42;Europe;perennial
M.giganteus;30.42;Europe;perennial
M.giganteus;27.12;Europe;perennial
M.giganteus;26.01;Europe;perennial
M.giganteus;19.01;Europe;perennial
M.giganteus;21.83;Europe;perennial
